GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,Publisher Name,Publisher ZipCode,Object Type,Language,Pages,Start Page,Company Name,Company NAIC,Subject Terms
434049127,"U.S. Sees Chinese Military Rise, and a Need for More Contact",2009-03-26,Newspapers,"['Shanker, Thom']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.12,['Department of Defense'],['928110'],"['Armed forces', 'Military readiness', 'Modernization', 'Studies']"
434049767,Vast Spy System Loots Computers in 103 Countries,2009-03-29,Newspapers,"['Markoff, John']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Espionage', 'Cybercrime']"
434053452,Tussle at Sea Has U.S. And China Quarreling,2009-03-11,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,"['Senate-Armed Services, Committee on', 'Navy-US']","['921120', '928110']","['International disputes', 'Warships', 'Congressional hearings', 'Testimony']"
434053459,"China Harassed U.S. Ship, the Pentagon Says",2009-03-10,Newspapers,"['Shanker, Thom']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,['Department of Defense'],['928110'],"['Military aircraft', 'Surveillance', 'Complaints', 'International relations-US -- China', 'Aircraft carriers']"
434055106,"Inside the Times: March 11, 2009",2009-03-11,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Shootings', 'Violence', 'Elections', 'Suicide bombings', 'Biological & chemical weapons']"
434058029,China Protests a U.S. Resolution on Tibet,2009-03-13,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,['House of Representatives'],['921120'],"['Foreign policy', 'Political persecution', 'International relations-US -- China']"
434061528,"Average Brooklyn Dad, Except That He's a Spy",2009-03-05,Newspapers,"['Maslin, Janet']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Reviews - All Types,English,,C.7,,,"['Novels', 'Mysteries', 'Books -- Tourist, The']"
434062287,Woman Slain in Boston Was From New York City,2009-04-17,Newspapers,"['Baker, Al']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.25,['Craigslist Inc'],['516110'],"['Murders & murder attempts', 'Victims of crime', 'Criminal investigations']"
434062379,Security Guards Become The Front Lines in India,2009-03-03,Newspapers,"['Timmons, Heather']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.3,,,"['Security personnel', 'Hiring', 'Private sector']"
434062910,How to Prevent a Pandemic,2009-04-30,Newspapers,"['Wolfe, Nathan']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.27,,,"['Pandemics', 'Disease prevention', 'Global health', 'Viruses', 'Influenza']"
434063382,Naval Show To Feature Submarines From China,2009-04-22,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,['Navy-China'],['928110'],"['Submarines', 'Rites & ceremonies', 'Anniversaries', 'Armed forces', 'Military readiness']"
434063854,System to Resolve Workplace Injury Leaves Ill Will on All Sides,2009-04-02,Newspapers,"['Greenhouse, Steven']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Series & special reports', 'Employee awards', 'Compliance', 'Workers compensation', 'Employee complaints', 'Corporate culture']"
434064049,"A Tibetan Blogger, Always Under Close Watch, Struggles for Visibility",2009-04-25,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.5,,,"['Bans', 'Personal profiles', 'Journalists', 'Political dissent', 'Blogs']"
434065324,The Listings,2009-04-17,Newspapers,['The New York Times'],11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.20,,,"['Museum exhibits', 'Loan agreements', 'Art galleries & museums', 'Art exhibits']"
434065756,Navy's Standoff With Pirates Shows Limit of Military Might,2009-04-10,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Container ships', 'Ports', 'Piracy']"
434067409,U.S. Plans Attack and Defense in Web Warfare,2009-04-28,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Department of Defense'],['928110'],"['Intelligence gathering', 'Computers', 'Internet', 'Electronic warfare']"
434068980,"New Address, Same Politician",2009-04-26,Newspapers,"['Morris, Roger']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,WK.13,,,"['Presidency', 'Political ethics']"
434070833,Ill From Food? Investigations Vary by State,2009-04-20,Newspapers,"['Gardiner, Harris']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Department of Health-Minnesota'],['923120'],"['Food safety', 'Public health', 'Inspections', 'Epidemiology', 'Food contamination & poisoning']"
434071395,Rural China's Hunger for Sons Fuels Traffic in Abducted Boys,2009-04-05,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Robbery', 'Children & youth', 'Kidnapping', 'Boys', 'Kidnapping']"
434072129,United States Plans to Join Nuclear Talks With Iran,2009-04-09,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.16,,,"['Diplomacy', 'International relations-US -- Iran', 'Nuclear weapons']"
434072281,North Korea Says It Will Halt Talks and Restart Its Nuclear Program,2009-04-15,Newspapers,"['Landler, Mark']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.5,['United Nations Security Council'],['928120'],"['Nuclear weapons', 'Arms control & disarmament', 'Missiles', 'International disputes', 'Nuclear reactors', 'Sanctions']"
434072527,"An Eldest Son's Failure and Paranoia, Unspoken Until a Sudden, Final Barrage",2009-04-12,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.23,,,"['Massacres', 'Murders & murder attempts', 'Mass murders']"
434074232,Military Budget Reflects a Shift In U.S. Strategy,2009-04-07,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Department of Defense'],['928110'],"['Budgets', 'Armed forces', 'Military strategy', 'Communications satellites', 'Defense spending']"
434076024,The Listings,2009-05-29,Newspapers,['The New York Times'],11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.21,,,"['Art exhibits', 'Interior design', 'Computer & video games', 'Art galleries & museums']"
434076237,India: Dalai Lama On Hacking,2009-04-01,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,,,
434076562,A Defiant North Korea Test-Fires 3 More Missiles,2009-05-27,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,['United Nations--UN'],['928120'],"['Radioactive materials', 'Nuclear fuels', 'Sanctions', 'Nuclear tests', 'International relations']"
434076591,U.S. Presses China for Tough Response to North Korea,2009-05-29,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Nuclear weapons', 'International relations-US', 'Sanctions', 'Arms control & disarmament', 'Technology transfer', 'Nuclear tests']"
434077085,Breakingviews.Com.,2009-04-01,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.2,"['Group of Twenty', 'Chrysler LLC', 'Fiat Group Automobile SpA']","['336111', '551112', '336111', '336399']","['Foreign exchange rates', 'Economic summit conferences', 'Renminbi', 'Monetary policy']"
434077123,Corrections,2009-05-29,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Books', 'Censorship', 'Corrections']"
434079192,Openness in China About Memoir Proves Short-Lived,2009-05-23,Newspapers,"['Ansfield, Jonathan']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,,,"['Autobiographies', 'Political activism', 'Books', 'Censorship']"
434080299,Tracking Cyberspies Through the Web Wilderness,2009-05-12,Newspapers,"['Markoff, John']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,D.3,['University of Toronto'],['611310'],"['Forensic sciences', 'Intelligence gathering', 'Internet', 'Computer forensics']"
434081371,"When Love Registers At a Motel, Send Wine",2009-05-15,Newspapers,"['Holden, Stephen']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Reviews - All Types,English,,C.11,,,['Motion pictures -- Management']
434081694,"Shopping for Tools for Unconventional War, Gates Visits Congress",2009-05-11,Newspapers,"['Shanker, Thom']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,"['Department of Defense', 'Congress']","['928110', '921120']","['Risk assessment', 'Military policy', 'War', 'Defense spending']"
434081839,China Releases Its Toll Of Students in '08 Quake,2009-05-08,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,,,"['Earthquakes', 'School buildings', 'Students', 'Casualties']"
434082310,Swine Flu Migrates to China and Japan,2009-05-12,Newspapers,"['McNEIL, DONALD G, Jr']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,['World Health Organization'],['923120'],"['Epidemics', 'Disease transmission', 'Swine flu', 'Quarantine']"
434084692,"First, Sow No Panic",2009-05-03,Newspapers,"['Rosenthal, Elisabeth']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,WK.3,,,"['Public health', 'Hygiene', 'Disease prevention', 'Influenza']"
434084774,A Secret Memoir Lays Bare a Tumultuous Time in China,2009-05-15,Newspapers,"['Eckholm, Erik']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,,,"['Books', 'Autobiographies']"
434085464,June,2009-05-03,Newspapers,"['Kehr, Dave']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Reports - All types,English,,MT.20,,,"['Motion pictures', 'Documentary films']"
434086467,Officials Note Youth of Serious Flu Cases,2009-05-07,Newspapers,"['McNEIL, DONALD G, Jr']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,,,"['Public health', 'Teenagers', 'Swine flu', 'Epidemiology']"
434086911,A Manifesto on Freedom Sets China's Persecution Machinery in Motion,2009-05-01,Newspapers,"['Wines, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.9,,,"['Freedom of speech', 'Political persecution', 'Democracy', 'Charters']"
434088092,"With New Software, Iranians And Others Outwit Net Censors",2009-05-01,Newspapers,"['Markoff, John']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Falun Gong'],['813110'],"['Censorship', 'Internet service providers', 'Software', 'Colleges & universities', 'Computer centers', 'Firewalls', 'Internet service providers', 'Freedom of the press', 'Firewalls']"
434089493,Questions Linger Over the Value of a Global Illness Surveillance System,2009-05-02,Newspapers,"['Gardiner, Harris']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.7,,,"['Pneumonia', 'Pandemics', 'Influenza', 'Disease control', 'Epidemiology']"
434093249,U.S. And Russia Differ On Treaty for Cyberspace,2009-06-28,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['International law', 'Censorship', 'Biological & chemical weapons', 'Agreements', 'National security', 'Internet', 'International relations-US -- Russia']"
434094185,Beijing Adds Curbs On Access To Internet,2009-06-26,Newspapers,"['Bradsher, Keith']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,,,"['Search engines', 'Censorship', 'Political dissent', 'Human rights', 'Internet access']"
434104381,U.S.-China Military Talks Aimed at Easing Relations,2009-06-25,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.12,,,"['Press conferences', 'Military policy', 'Nuclear tests', 'International relations-US -- China']"
434104617,"In New Theory, Swine Flu Started in Asia, Not Mexico",2009-06-24,Newspapers,"['McNEIL, DONALD G, Jr']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.11,,,"['Epidemiology', 'Disease transmission', 'Pandemics', 'Hogs', 'Swine flu']"
434106259,Pentagon to Outline Shift In War Planning Strategy,2009-06-23,Newspapers,"['Shanker, Thom']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.11,['Department of Defense'],['928110'],"['Military readiness', 'Military training', 'Armed forces', 'War', 'Military strategy']"
434106794,Web Pries Lid of Censorship a Bit,2009-06-23,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Internet', 'Censorship', 'Digital video', 'Demonstrations & protests -- Iran']"
434109125,"Australia, Nourishing China's Economic Engine, Questions Ties",2009-06-03,Newspapers,"['Wines, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Trade relations', 'Foreign investment', 'Economic development', 'International relations']"
434109359,North Korea's Cruel Verdict,2009-06-09,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.26,,,"['Nuclear weapons', 'Human rights', 'Journalists', 'Espionage', 'International relations-US', 'Editorials -- North Korea']"
434112214,The Listings,2009-06-05,Newspapers,['The New York Times'],11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.21,,,"['Interior design', 'Art galleries & museums', 'Art exhibits']"
434115299,The Listings,2009-06-12,Newspapers,['The New York Times'],11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.23,,,"['Interior design', 'Art galleries & museums', 'Art exhibits']"
434116992,China Sentences Women Held After Protest Attempt,2009-07-31,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Paralympic Games', 'Hotels & motels', 'House arrest', 'Detention centers', 'Criminal sentences', 'Vandalism', 'Demonstrations & protests']"
434117001,Inside The Times,2009-06-06,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Capital punishment', 'Theater directors & producers']"
434117013,Plan to Increase U.S. Troop Presence in Colombia Worries Neighbors,2009-07-23,Newspapers,"['Romero, Simon']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,,,"['Military personnel', 'Agreements', 'Armed forces', 'Diplomacy', 'Military bases', 'International relations-US -- Colombia']"
434122801,"Files Vanished, Young Chinese Lose the Future",2009-07-27,Newspapers,"['LaFRANIERE, SHARON']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Academic achievement', 'Corruption', 'Access to education', 'Identity theft']"
434127014,China Broadens Its Steel Investigation Beyond Rio Tinto,2009-07-14,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Corruption', 'Bribery', 'Investigations']"
434127470,China's Detention of Mining Executives Rattles Its Global Industrial Partnerships,2009-07-13,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Espionage', 'Arrests']"
434128285,China Says Its Forces Killed 12 in Riot,2009-07-21,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,,,"['Violence', 'Casualties', 'Cameras', 'Riots', 'Deadly force']"
434129281,China Says Australian Is Detained In Spy Case,2009-07-10,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,['Rio Tinto Group'],"['212112', '212291']","['Espionage', 'Arrests']"
434129602,China May Ease Charges of Rio Tinto Workers,2009-07-20,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.9,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Espionage']"
434137813,Espionage Charges in China May Be Linked to Negotiations Over Iron Ore Prices,2009-07-11,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Prices', 'Legislation', 'Government documents', 'Contract negotiations']"
434139399,"Robert McNamara, Architect of Futile War, Dies",2009-07-07,Newspapers,"['Weiner, Tim']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Deaths -- McNamara, Robert S']"
434151424,"To Stimulate Souls, Cosmic Mansions With Many Rooms",2009-08-21,Newspapers,"['Cotter, Holland']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Reviews - All Types,English,,C.26,,,"['Painting', 'Sculpture', 'Art exhibits']"
434153598,China: The Eyes of the Police,2009-08-11,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,
434157522,Tension Increases as China And Australia Grow Closer,2009-08-22,Newspapers,"['Wines, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['International relations', 'Equity stake', 'Industrial policy']"
434158991,4 on Rio Tinto's China Staff Won't Face Spying Charge,2009-08-13,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,['Rio Tinto Group'],"['212112', '212291']","['Trade secrets', 'Espionage', 'Arrests', 'Employees', 'Multinational corporations']"
434160736,China Says $100 Billion Was Bilked By Company,2009-08-10,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Espionage']"
434161385,China Warms To New Credo: Business First,2009-08-14,Newspapers,"['Wines, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,"['Software', 'Computer industry', 'Trade secrets', 'Espionage', 'International trade']"
434161858,China Seems to Retract Claim Against Rio Tinto,2009-08-11,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.9,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Industrial espionage']"
434164860,"China Charges 4 Employees of Rio Tinto, but Backs Off Allegations of Spying",2009-08-12,Newspapers,"['Barboza, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,['Rio Tinto Group'],"['212112', '212291']","['Steel industry', 'Legislation', 'Industrial espionage']"
434167047,China: Tibetan Dissident Disappears,2009-08-08,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,
434171634,Stocking Up for One Chinese Holiday and Two Worlds,2009-09-30,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Publishing industry', 'Retail stores', 'Holidays & special occasions', 'Censorship']"
434173737,Inside The Times,2009-09-27,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Popes', 'Political parties']"
434176468,Inside The Times,2009-09-20,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,['Municipal government']
434187463,"Arrest of Lab Worker in Yale Killing Is Imminent, Police Say",2009-09-17,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.24,,,"['Sex crimes', 'Arrest warrants', 'Criminal investigations', 'Murders & murder attempts']"
434199052,China Adds Layer of Web Surveillance With a Rule Seeking Users' Names,2009-09-06,Newspapers,"['Ansfield, Jonathan']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,,,"['Web portals', 'Regulation', 'Internet Protocol', 'Freedom of speech', 'Surveillance of citizens', 'Internet access']"
434199471,China Is Trying a Tibetan Filmmaker for Subversion,2009-10-31,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Human rights', 'Documentary films', 'Political crimes', 'Motion picture directors & producers', 'Trials']"
434202468,Immigrant Family's Long Shot Rescues Girl Taken by Father,2009-10-31,Newspapers,"['Bernstein, Nina']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Federal Bureau of Investigation--FBI'],['922120'],"['Fathers', 'Child custody', 'Kidnapping', 'Noncitizens']"
434207502,Finalists Announced for 2010 Hugo Boss Prize,2009-10-09,Newspapers,"['Vogel, Carol']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.26,,,"['Art exhibits', 'Fine arts', 'Visual artists', 'Prizes']"
434217594,"In China, the Red Flags Still Fly for Mao ...",2009-10-04,Newspapers,"['Kang, Zhengguo']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,WK.9,,,"['Anniversaries', 'Communism', 'Political leadership', 'Freedoms', 'Parades']"
434222398,China Shows Focus on Territorial Issues as It Equates Tibet and Civil War South,2009-11-14,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,,,"['Sovereignty', 'Territorial issues', 'American Civil War', 'Foreign policy -- China']"
434223712,"Lovers, Rodents and Vampires (Again)",2009-11-01,Newspapers,"['Kehr, Dave']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,MT.12,,,"['Motion pictures', 'Teenagers', 'Opera', 'Motion picture festivals', 'Documentary films']"
